item_id,item_name,category,quantity,price,supplier_name,supplier_phone,date_added,orders
5,Rice,Food,194g,350.00,Jonny,0743678292,2025-05-02 00:38:08,3
6,Light bulbs,Supplies,72,500.00,Shaarl,0776354789,2025-05-02 00:38:08,4
9,Bottles,Accessories,314,100.00,Rifath,0741040292,2025-05-02 00:38:08,3
10,Pumpkin,Food,292,500.00,Saman,0741035692,2025-05-02 00:38:08,2
15,Titanium,Supplies,42,1500.00,Stark,0789758292,2025-05-02 00:38:08,3
17,Potatoes,Food,411,150.00,John,0746754292,2025-05-02 00:38:08,2
18,Salt,Food,180g,250.00,Amaran,0741046789,2025-05-02 00:38:08,1
20,Chicken,Food,80g,890.00,Thirandu,0741040897,2025-05-02 00:38:08,0
21,Sugar,Food,24g,678.00,John,0741040292,2025-05-02 00:38:08,4
23,Beef,Food,350g,1500.00,jcmoimejpoice,0744567292,2025-05-02 19:30:22,0
28,Tomatoes,Foods,250g,240.00,OilDepot,5557777777,2025-05-06 15:33:37,85
29,Chili Powder,Foods,95g,150.00,SpiceCo,5555555555,2025-05-06 15:33:37,61
30,Garlic,Foods,145g,90.00,HarvestHub,5554444444,2025-05-06 15:33:37,76
34,Onions,Foods,500g,120.00,FarmFresh,5553333333,2025-05-09 01:30:51,100
35,Turmeric Powder,Foods,100g,160.00,NatureSpice,5552222222,2025-05-09 01:30:51,50
36,Ginger,Foods,200g,110.00,GreenLeaf,5551111111,2025-05-09 01:30:51,70
37,Cumin Seeds,Foods,100g,180.00,SpiceWorld,5556666666,2025-05-09 01:30:51,40
38,Green Chilies,Foods,250g,130.00,ChiliFarm,5558888888,2025-05-09 01:30:51,90
39,Potatoes,Foods,1kg,90.00,RootHarvest,5559999999,2025-05-09 01:30:51,120
40,Carrots,Foods,500g,100.00,FreshFields,5551212121,2025-05-09 01:30:51,80
41,Coriander Leaves,Foods,100g,40.00,HerbHeaven,5553434343,2025-05-09 01:30:51,60
42,Mustard Seeds,Foods,200g,170.00,SpiceCart,5557878787,2025-05-09 01:30:51,45
44,Beans,Foods,500g,95.00,FarmDirect,5554747474,2025-05-09 01:30:51,95
45,Tamarind,Foods,250g,150.00,TangyTreats,5552323232,2025-05-09 01:30:51,55
46,Black Pepper,Foods,100g,200.00,PepperKing,5556767676,2025-05-09 01:30:51,35
